"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","TUR","26","Turkey","DEU","Germany",2022,"Export",6,52711.464
"H4","TUR","26","Turkey","DEU","Germany",2022,"Import",5,366.906
"H4","TUR","26","Turkey","DEU","Germany",2023,"Export",6,20165.539
"H4","TUR","26","Turkey","DEU","Germany",2023,"Import",5,261.133
"H4","TUR","26","Turkey","DEU","Germany",2024,"Export",6,22158.762
"H4","TUR","26","Turkey","DEU","Germany",2024,"Import",5,90.126
"H4","TUR","26","Turkey","DEU","Germany",2025,"Export",6,22486.881
"H4","TUR","26","Turkey","DEU","Germany",2025,"Import",5,517.594
"H4","TUR","26","Turkey","IND","India",2020,"Export",6,5673.642
"H4","TUR","26","Turkey","IND","India",2020,"Import",5,1100.625
"H4","TUR","26","Turkey","IND","India",2021,"Export",6,1496.137
"H4","TUR","26","Turkey","IND","India",2021,"Import",5,739.357
"H4","TUR","26","Turkey","IND","India",2022,"Export",6,3641.35
"H4","TUR","26","Turkey","IND","India",2022,"Import",5,113654.103
"H4","TUR","26","Turkey","IND","India",2023,"Export",6,4262.115
"H4","TUR","26","Turkey","IND","India",2023,"Import",5,905.15
"H4","TUR","26","Turkey","IND","India",2024,"Export",6,24595.342
"H4","TUR","26","Turkey","IND","India",2024,"Import",5,609.647
"H4","TUR","26","Turkey","IND","India",2025,"Export",6,19109.798
"H4","TUR","26","Turkey","IND","India",2025,"Import",5,1035.301
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2020,"Export",6,44051.704
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2020,"Import",5,225.37
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2021,"Export",6,75541.611
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2021,"Import",5,2148.999
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2022,"Export",6,77982.459
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2022,"Import",5,5129.293
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2023,"Export",6,70612.64
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2023,"Import",5,14711.941
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2024,"Export",6,44374.859
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2024,"Import",5,4396.495
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2025,"Export",6,34354.696
"H4","TUR","26","Turkey","IRN","Iran, Islamic Rep.",2025,"Import",5,3457.053
"H4","TUR","26","Turkey","ISR","Israel",2020,"Export",6,1617.683
"H4","TUR","26","Turkey","ISR","Israel",2021,"Export",6,835.85
"H4","TUR","26","Turkey","ISR","Israel",2021,"Import",5,384.02
"H4","TUR","26","Turkey","ISR","Israel",2022,"Export",6,5865.464
"H4","TUR","26","Turkey","ISR","Israel",2022,"Import",5,587.634
"H4","TUR","26","Turkey","ISR","Israel",2023,"Export",6,5595.458
"H4","TUR","26","Turkey","ISR","Israel",2023,"Import",5,202.215
"H4","TUR","26","Turkey","ISR","Israel",2024,"Export",6,745.576
"H4","TUR","26","Turkey","ISR","Israel",2024,"Import",5,27.333
"H4","TUR","26","Turkey","JPN","Japan",2020,"Export",6,7052.017
"H4","TUR","26","Turkey","JPN","Japan",2020,"Import",5,4.207
"H4","TUR","26","Turkey","JPN","Japan",2021,"Export",6,8522.48
"H4","TUR","26","Turkey","JPN","Japan",2021,"Import",5,3.412
"H4","TUR","26","Turkey","JPN","Japan",2022,"Export",6,17385.645
"H4","TUR","26","Turkey","JPN","Japan",2022,"Import",5,285.467
"H4","TUR","26","Turkey","JPN","Japan",2023,"Export",6,13657.374
"H4","TUR","26","Turkey","JPN","Japan",2023,"Import",5,0.02
"H4","TUR","26","Turkey","JPN","Japan",2024,"Export",6,21203.571
"H4","TUR","26","Turkey","JPN","Japan",2024,"Import",5,0.008
"H4","TUR","26","Turkey","JPN","Japan",2025,"Export",6,41058.233
"H4","TUR","26","Turkey","JPN","Japan",2025,"Import",5,0.008
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2020,"Export",6,17807.528
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2021,"Export",6,26824.157
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2021,"Import",5,0.009
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2022,"Export",6,17828.499
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2022,"Import",5,0.01
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2023,"Export",6,46937.368
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2023,"Import",5,4.617
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2024,"Export",6,115517.654
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2024,"Import",5,0.008
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2025,"Export",6,133177.927
"H4","TUR","26","Turkey","KOR","Korea, Rep.",2025,"Import",5,0.013
"H4","TUR","26","Turkey","NLD","Netherlands",2020,"Export",6,2213.785
"H4","TUR","26","Turkey","NLD","Netherlands",2020,"Import",5,1050.603
"H4","TUR","26","Turkey","NLD","Netherlands",2021,"Export",6,11573.937
"H4","TUR","26","Turkey","NLD","Netherlands",2021,"Import",5,1354.797
"H4","TUR","26","Turkey","NLD","Netherlands",2022,"Export",6,14215.144
"H4","TUR","26","Turkey","NLD","Netherlands",2022,"Import",5,2973.176
"H4","TUR","26","Turkey","NLD","Netherlands",2023,"Export",6,3894.317
"H4","TUR","26","Turkey","NLD","Netherlands",2023,"Import",5,770.88
"H4","TUR","26","Turkey","NLD","Netherlands",2024,"Export",6,5362.209
"H4","TUR","26","Turkey","NLD","Netherlands",2024,"Import",5,1492.252
"H4","TUR","26","Turkey","NLD","Netherlands",2025,"Export",6,1801.252
"H4","TUR","26","Turkey","NLD","Netherlands",2025,"Import",5,1457.174
"H4","TUR","26","Turkey","OAS","Other Asia, nes",2020,"Export",6,11501.162
"H4","TUR","26","Turkey","OAS","Other Asia, nes",2021,"Export",6,5921.659
"H4","TUR","26","Turkey","OAS","Other Asia, nes",2022,"Export",6,7957.656
"H4","TUR","26","Turkey","OAS","Other Asia, nes",2023,"Export",6,2.864
"H4","TUR","26","Turkey","OAS","Other Asia, nes",2024,"Export",6,11.285
"H4","TUR","26","Turkey","OAS","Other Asia, nes",2025,"Export",6,6.131
"H4","TUR","26","Turkey","QAT","Qatar",2020,"Export",6,54.95
"H4","TUR","26","Turkey","QAT","Qatar",2021,"Export",6,0.015
"H4","TUR","26","Turkey","QAT","Qatar",2022,"Export",6,56.636
"H4","TUR","26","Turkey","QAT","Qatar",2023,"Export",6,1.913
"H4","TUR","26","Turkey","QAT","Qatar",2024,"Export",6,0.019
"H4","TUR","26","Turkey","QAT","Qatar",2025,"Export",6,0.814
"H4","TUR","26","Turkey","RUS","Russian Federation",2020,"Export",6,186.241
"H4","TUR","26","Turkey","RUS","Russian Federation",2020,"Import",5,142962.22
"H4","TUR","26","Turkey","RUS","Russian Federation",2021,"Export",6,1407.95
"H4","TUR","26","Turkey","RUS","Russian Federation",2021,"Import",5,258866.345
"H4","TUR","26","Turkey","RUS","Russian Federation",2022,"Export",6,5003.358
"H4","TUR","26","Turkey","RUS","Russian Federation",2022,"Import",5,89034.696
"H4","TUR","26","Turkey","RUS","Russian Federation",2023,"Export",6,5364.66
"H4","TUR","26","Turkey","RUS","Russian Federation",2023,"Import",5,42957.85
"H4","TUR","26","Turkey","RUS","Russian Federation",2024,"Export",6,2138.648
"H4","TUR","26","Turkey","RUS","Russian Federation",2024,"Import",5,61645.817
"H4","TUR","26","Turkey","RUS","Russian Federation",2025,"Export",6,2314.405
"H4","TUR","26","Turkey","RUS","Russian Federation",2025,"Import",5,92950.969
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2020,"Import",5,657.573
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2021,"Import",5,327.505
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2022,"Export",6,1.053
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2022,"Import",5,143.823
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2023,"Export",6,2.361
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2023,"Import",5,31.144
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2024,"Export",6,0.282
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2024,"Import",5,29.554
"H4","TUR","26","Turkey","SAU","Saudi Arabia",2025,"Export",6,12.388
"H4","TUR","26","Turkey","USA","United States",2020,"Export",6,7079.573
"H4","TUR","26","Turkey","USA","United States",2020,"Import",5,3915.644
"H4","TUR","26","Turkey","USA","United States",2021,"Export",6,18169.63
"H4","TUR","26","Turkey","USA","United States",2021,"Import",5,21588.431
"H4","TUR","26","Turkey","USA","United States",2022,"Export",6,26644.01
"H4","TUR","26","Turkey","USA","United States",2022,"Import",5,18058.641
"H4","TUR","26","Turkey","USA","United States",2023,"Export",6,8303.399
"H4","TUR","26","Turkey","USA","United States",2023,"Import",5,32931.032
"H4","TUR","26","Turkey","USA","United States",2024,"Export",6,8228.809
"H4","TUR","26","Turkey","USA","United States",2024,"Import",5,3966.396
"H4","TUR","26","Turkey","USA","United States",2025,"Export",6,13151.886
"H4","TUR","26","Turkey","USA","United States",2025,"Import",5,4124.857
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2020,"Export",6,42908.04
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2020,"Import",5,7999.545
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2021,"Export",6,115914.056
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2021,"Import",5,147887.385
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2022,"Export",6,298045.371
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2022,"Import",5,340949.202
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2023,"Export",6,308687.062
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2023,"Import",5,68073.85
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2024,"Export",6,684228.505
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2024,"Import",5,289269.732
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2025,"Export",6,227535.555
"H4","TUR","27","Turkey","ARE","United Arab Emirates",2025,"Import",5,6969.094
"H4","TUR","27","Turkey","AUS","Australia",2020,"Export",6,540.248
"H4","TUR","27","Turkey","AUS","Australia",2020,"Import",5,101461.532
"H4","TUR","27","Turkey","AUS","Australia",2021,"Export",6,1180.091
"H4","TUR","27","Turkey","AUS","Australia",2021,"Import",5,777064.334
"H4","TUR","27","Turkey","AUS","Australia",2022,"Export",6,267.099
"H4","TUR","27","Turkey","AUS","Australia",2022,"Import",5,1060870.813
"H4","TUR","27","Turkey","AUS","Australia",2023,"Export",6,69.077
"H4","TUR","27","Turkey","AUS","Australia",2023,"Import",5,770703.579
"H4","TUR","27","Turkey","AUS","Australia",2024,"Export",6,142.966
"H4","TUR","27","Turkey","AUS","Australia",2024,"Import",5,764573.21
